3769911.196 4.0813086e-07 0.9255 1.0000 2.0919621e-09 1.3194 0.9664 2.4965001e-10 0.6804 0.9610 2.1493284e-09 0.9818 0.9564 1.0211478e-10 1.2825 0.9436 5.4982801e-07 1.0018 0.9409 1.2260728e-10 1.2528 0.9397 8.5248655e-11 1.0128 0.9393 7.0641864e-11 1.3889 0.9308 2.8700563e-10 1.0206 0.9288 8.9444804e-11 1.1640 0.9274 3.0450525e-11 1.6558 0.9260 5.553698e-11 1.5324 0.9239 6.6422592e-11 1.3293 0.9207 3.8451036e-10 1.2322 0.9200 5.8330613e-10 1.1507 0.9124 3.7198158e-10 0.9400 0.9049 1.9574765e-10 1.2112 0.9014 6.407149e-11 1.3338 0.8924 2.2511384e-10 1.1037 0.8867 4.2835425e-10 1.0627 0.8727
3769282.877 4.0813086e-07 0.9261 1.0000 2.0919602e-09 1.3194 0.9664 2.4965001e-10 0.6805 0.9610 2.149324e-09 0.9778 0.9564 1.0211242e-10 1.2783 0.9436 5.4982787e-07 1.0009 0.9409 1.2260411e-10 1.2536 0.9397 8.5248383e-11 1.0113 0.9393 7.0641688e-11 1.3882 0.9308 2.8700394e-10 1.0204 0.9288 8.9433865e-11 1.1790 0.9274 3.0450525e-11 1.6558 0.9260 5.553698e-11 1.5287 0.9239 6.6422458e-11 1.3177 0.9207 3.8449776e-10 1.2326 0.9200 5.832323e-10 1.1482 0.9125 3.7198158e-10 0.9404 0.9049 1.9574007e-10 1.2142 0.9014 6.4071366e-11 1.3362 0.8924 2.2507702e-10 1.1054 0.8866 4.2831145e-10 1.0663 0.8726
3768654.559 4.0813086e-07 0.9261 1.0000 2.091958e-09 1.3186 0.9664 2.4965001e-10 0.6807 0.9610 2.1493189e-09 0.9829 0.9564 1.0210984e-10 1.2785 0.9436 5.4982772e-07 1.0003 0.9409 1.2260061e-10 1.2538 0.9397 8.524806e-11 1.0136 0.9393 7.0641494e-11 1.3892 0.9308 2.8700212e-10 1.0205 0.9288 8.9420195e-11 1.1783 0.9274 3.0450525e-11 1.6558 0.9260 5.553698e-11 1.5325 0.9239 6.64223e-11 1.3160 0.9207 3.8448391e-10 1.2318 0.9200 5.8314963e-10 1.1493 0.9125 3.7198157e-10 0.9441 0.9049 1.9573181e-10 1.2096 0.9014 6.407122e-11 1.3342 0.8924 2.2503712e-10 1.1074 0.8866 4.282632e-10 1.0662 0.8726
3768026.24 4.0813086e-07 0.9262 1.0000 2.0919555e-09 1.3175 0.9664 2.4965001e-10 0.6799 0.9610 2.1493122e-09 0.9827 0.9564 1.0210696e-10 1.2795 0.9436 5.4982754e-07 1.0003 0.9409 1.2259679e-10 1.2541 0.9397 8.5247704e-11 1.0117 0.9393 7.0641274e-11 1.3917 0.9308 2.8700009e-10 1.0256 0.9288 8.9405279e-11 1.1805 0.9274 3.0450525e-11 1.6559 0.9260 5.553698e-11 1.5337 0.9239 6.6422114e-11 1.3059 0.9207 3.8446855e-10 1.2268 0.9200 5.8305344e-10 1.1508 0.9125 3.7198157e-10 0.9458 0.9049 1.9572279e-10 1.2146 0.9014 6.4071051e-11 1.3275 0.8924 2.249906e-10 1.1100 0.8865 4.2821434e-10 1.0638 0.8726
3767397.921 4.0813086e-07 0.9260 1.0000 2.0919526e-09 1.3152 0.9664 2.4965001e-10 0.6801 0.9610 2.1493054e-09 0.9844 0.9564 1.021037e-10 1.2782 0.9436 5.4982736e-07 1.0011 0.9409 1.2259246e-10 1.2539 0.9397 8.5247297e-11 1.0142 0.9393 7.0641025e-11 1.3897 0.9308 2.8699786e-10 1.0257 0.9288 8.9388934e-11 1.1791 0.9274 3.0450525e-11 1.6557 0.9260 5.553698e-11 1.5341 0.9239 6.6421902e-11 1.3118 0.9207 3.8445261e-10 1.2164 0.9200 5.829412e-10 1.1513 0.9125 3.7198157e-10 0.9413 0.9049 1.9571273e-10 1.2102 0.9014 6.4070862e-11 1.3262 0.8924 2.249346e-10 1.1116 0.8865 4.2816776e-10 1.0596 0.8726
3766769.603 4.0813086e-07 0.9253 1.0000 2.0919492e-09 1.3102 0.9664 2.4965001e-10 0.6802 0.9610 2.1492974e-09 0.9865 0.9564 1.0210019e-10 1.2782 0.9436 5.4982716e-07 1.0014 0.9409 1.2258754e-10 1.2533 0.9397 8.5246644e-11 1.0325 0.9393 7.064075e-11 1.3897 0.9308 2.869954e-10 1.0271 0.9288 8.9370551e-11 1.1789 0.9275 3.0450525e-11 1.6556 0.9260 5.553698e-11 1.5357 0.9239 6.6421674e-11 1.3122 0.9207 3.8443563e-10 1.2156 0.9200 5.8281591e-10 1.1510 0.9125 3.7198156e-10 0.9405 0.9049 1.9570204e-10 1.2052 0.9014 6.4070643e-11 1.3277 0.8924 2.2487249e-10 1.1124 0.8864 4.2810697e-10 1.0571 0.8725
3766141.284 4.0813086e-07 0.9258 1.0000 2.0919451e-09 1.3082 0.9664 2.4965001e-10 0.6801 0.9610 2.1492881e-09 0.9858 0.9564 1.0209646e-10 1.2797 0.9436 5.4982694e-07 1.0012 0.9409 1.2258199e-10 1.2526 0.9397 8.5245635e-11 1.0388 0.9393 7.0640439e-11 1.3904 0.9308 2.8699255e-10 1.0195 0.9288 8.9350246e-11 1.1804 0.9275 3.0450525e-11 1.6557 0.9260 5.553698e-11 1.5342 0.9239 6.6421417e-11 1.3100 0.9207 3.8441686e-10 1.2169 0.9200 5.8267155e-10 1.1506 0.9126 3.7198156e-10 0.9358 0.9049 1.9569053e-10 1.2043 0.9014 6.4070393e-11 1.3371 0.8924 2.2480402e-10 1.1091 0.8863 4.2802759e-10 1.0570 0.8725
3765512.966 4.0813086e-07 0.9258 1.0000 2.0919404e-09 1.3098 0.9664 2.4965001e-10 0.6801 0.9610 2.1492777e-09 0.9904 0.9564 1.0209252e-10 1.2781 0.9436 5.4982671e-07 1.0014 0.9409 1.2257586e-10 1.2524 0.9396 8.52444e-11 1.0488 0.9393 7.0640093e-11 1.3856 0.9308 2.8698939e-10 1.0196 0.9288 8.9329291e-11 1.1794 0.9276 3.0450525e-11 1.6555 0.9260 5.553698e-11 1.5355 0.9239 6.6421124e-11 1.3166 0.9207 3.8439612e-10 1.2156 0.9200 5.8250563e-10 1.1531 0.9126 3.7198155e-10 0.9406 0.9049 1.9567846e-10 1.2013 0.9014 6.4070108e-11 1.3349 0.8924 2.2472783e-10 1.1070 0.8862 4.2792836e-10 1.0607 0.8724
3764884.647 4.0813086e-07 0.9255 1.0000 2.091935e-09 1.3102 0.9664 2.4965001e-10 0.6807 0.9610 2.149266e-09 0.9897 0.9564 1.0208814e-10 1.2779 0.9436 5.4982644e-07 1.0016 0.9409 1.2256906e-10 1.2528 0.9396 8.5243122e-11 1.0636 0.9393 7.0639711e-11 1.3879 0.9308 2.8698595e-10 1.0214 0.9288 8.9322223e-11 1.1797 0.9276 3.0450525e-11 1.6557 0.9260 5.553698e-11 1.5378 0.9239 6.6420795e-11 1.3160 0.9207 3.8437331e-10 1.2152 0.9200 5.8244852e-10 1.1517 0.9126 3.7198155e-10 0.9389 0.9049 1.9566597e-10 1.1957 0.9014 6.4069771e-11 1.3355 0.8924 2.2470262e-10 1.1066 0.8862 4.2789233e-10 1.0610 0.8724
3764256.329 4.0813086e-07 0.9259 1.0000 2.0919315e-09 1.3111 0.9664 2.4965001e-10 0.6809 0.9610 2.1492528e-09 0.9887 0.9564 1.0208344e-10 1.2796 0.9436 5.4982615e-07 1.0014 0.9409 1.2256145e-10 1.2524 0.9396 8.5242196e-11 1.0823 0.9393 7.0639288e-11 1.3871 0.9308 2.8698222e-10 1.0139 0.9288 8.9322223e-11 1.1827 0.9276 3.0450525e-11 1.6557 0.9260 5.553698e-11 1.5347 0.9239 6.6420573e-11 1.3119 0.9207 3.8434846e-10 1.2161 0.9200 5.8244848e-10 1.1546 0.9126 3.7198154e-10 0.9373 0.9049 1.9565314e-10 1.1970 0.9015 6.4069546e-11 1.3342 0.8924 2.2470262e-10 1.1070 0.8862 4.2789045e-10 1.0606 0.8724
